,id,experiment_name,seed,profit_gain,t,actor_hidden_size,discount,deviation_profit_percent,deviation_type,differential_deviation_profit
0,0,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,250917,0.85367656,10003,256,0.95,10.67369780393057,br,34.06484771775436
1,1,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,250917,0.85367656,10003,256,0.95,9.371854848935662,nash,33.970869793808696
2,2,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,250917,0.85367656,10003,256,0.95,-0.0066586000399215806,cost,33.2636742726084
3,3,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,250917,0.85367656,10003,256,0.95,-0.8218204741862467,coop,-0.09975673121413514
4,4,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,50321,0.973407,10003,256,0.95,1.3308706031873785,br,0.06039849746162018
5,5,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,50321,0.973407,10003,256,0.95,0.8555923007486532,nash,0.02124198670567745
6,6,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,50321,0.973407,10003,256,0.95,-6.5174719119029225,cost,-0.4872255141528259
7,7,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,50321,0.973407,10003,256,0.95,-0.18396750652610594,coop,-0.021915451229022248
8,8,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,200722,0.9750348,10003,256,0.95,1.1167846960446148,br,0.06086582990814314
9,9,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,200722,0.9750348,10003,256,0.95,0.29495828999520635,nash,0.0009642450178098255
10,10,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,200722,0.9750348,10003,256,0.95,-4.653610958433363,cost,-0.324198688194012
11,11,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,200722,0.9750348,10003,256,0.95,0.3254148245817323,coop,0.01461443161710732
12,12,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,190399,0.9485476,10003,256,0.95,24.464311073140145,br,66.19855707823189
13,13,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000,190399,0.9485476,10003,256,0.95,1.8401388843142297,nash,0.1251942273789807
