,id,experiment_name,seed,profit_gain,t,actor_hidden_size,discount,deviation_profit_percent,deviation_type,differential_deviation_profit
32,32,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,150462,0.9643782520274439,10003,256,0.95,7.1200806354893755,nash,0.6053423766736672
33,33,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,150462,0.9643782520274439,10003,256,0.95,16.202819225568515,br,1.1561159851035303
34,34,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,150462,0.9643782520274439,10003,256,0.95,-4.748640210020361,coop,-0.31977213451828446
35,35,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,150462,0.9643782520274439,10003,256,0.95,-5.033360849234203,cost,-0.20290642361752342
36,36,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,1337,0.9592915980850307,10003,256,0.95,8.629048083623905,nash,0.5199828057159309
37,37,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,1337,0.9592915980850307,10003,256,0.95,11.378564691284799,br,0.6620384276116632
38,38,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,1337,0.9592915980850307,10003,256,0.95,-4.922724513947007,coop,-0.4266055749540098
39,39,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,1337,0.9592915980850307,10003,256,0.95,-5.03158535049385,cost,-0.1966398818448465
40,40,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9149,0.8338207232269969,10003,256,0.95,8.097141339314495,nash,0.6251199848730616
41,41,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9149,0.8338207232269969,10003,256,0.95,15.574477953262482,br,25.23150785867982
42,42,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9149,0.8338207232269969,10003,256,0.95,-1.6251550853258614,coop,-0.10987825882199893
43,43,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9149,0.8338207232269969,10003,256,0.95,3.3918776749291077,cost,12.485390262998846
44,44,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5283,0.8648271231782675,10003,256,0.95,18.052628064233403,nash,1.230071054185359
45,45,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5283,0.8648271231782675,10003,256,0.95,20.317396013310596,br,1.3827493130749755
46,46,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5283,0.8648271231782675,10003,256,0.95,-3.0469584970062655,coop,-0.12932284747263134
47,47,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5283,0.8648271231782675,10003,256,0.95,12.49675520310196,cost,1.2633321467973382
48,48,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9173,0.9026264967307454,10003,256,0.95,10.206096790306338,nash,0.6531447883877356
49,49,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9173,0.9026264967307454,10003,256,0.95,11.882718990597155,br,0.6820732056696753
50,50,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9173,0.9026264967307454,10003,256,0.95,-7.241930821046627,coop,-0.6360644213834795
51,51,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9173,0.9026264967307454,10003,256,0.95,-0.7286578209826367,cost,0.06982749975785675
52,52,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9933,0.902573784659109,10003,256,0.95,8.147606082058548,nash,0.24172110490844978
53,53,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9933,0.902573784659109,10003,256,0.95,9.47136661827066,br,0.37714339840940053
54,54,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9933,0.902573784659109,10003,256,0.95,-0.4642701964960934,coop,-0.0366807040048519
55,55,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9933,0.902573784659109,10003,256,0.95,0.5832473415094371,cost,-0.11921059294061542
56,56,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,4517,0.42206145465043376,10003,256,0.95,1.110883410542048,nash,47.0263398764346
57,57,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,4517,0.42206145465043376,10003,256,0.95,0.7676920406890941,br,47.01287183101069
58,58,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,4517,0.42206145465043376,10003,256,0.95,-5.850047475782727,coop,46.741631125237625
59,59,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,4517,0.42206145465043376,10003,256,0.95,-1.4386884096118397,cost,46.940857211316676
60,60,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9257,0.046131989540298075,10003,256,0.95,0.055253336944856755,nash,0.0002269473450278355
61,61,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9257,0.046131989540298075,10003,256,0.95,0.09036205378245936,br,0.0012566882902700915
62,62,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9257,0.046131989540298075,10003,256,0.95,-3.3530797480245123,coop,-0.08764128558283642
63,63,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9257,0.046131989540298075,10003,256,0.95,-5.76819940437701,cost,-0.15218150371151026
64,64,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9767,0.8888365927145742,10003,256,0.95,43.59271604891038,nash,36.18572593858065
65,65,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9767,0.8888365927145742,10003,256,0.95,28.66489726086534,br,1.8915398920753113
66,66,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9767,0.8888365927145742,10003,256,0.95,-8.536606712529823,coop,-0.9712697594395184
67,67,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9767,0.8888365927145742,10003,256,0.95,18.729820030730398,cost,34.67864170278859
68,68,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9564,-0.01254883816653009,10003,256,0.95,-0.011687245263810228,nash,3.222770308511651
69,69,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9564,-0.01254883816653009,10003,256,0.95,-0.025523173006702926,br,3.222503880864858
70,70,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9564,-0.01254883816653009,10003,256,0.95,-3.4861534708849486,coop,3.13989768859884
71,71,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9564,-0.01254883816653009,10003,256,0.95,-5.632227838744671,cost,3.098788157182025
72,72,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5209,0.9073935131218873,10003,256,0.95,0.8361098551973681,nash,0.02798545883027076
73,73,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5209,0.9073935131218873,10003,256,0.95,3.0107685161330853,br,0.16797268724219336
74,74,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5209,0.9073935131218873,10003,256,0.95,-2.5082190449745467,coop,-0.13599848502503045
75,75,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5209,0.9073935131218873,10003,256,0.95,-4.006837778086717,cost,-0.1924958952614546
76,76,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6531,0.9660254306089456,10003,256,0.95,11.433316541871692,nash,0.6744032849780764
77,77,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6531,0.9660254306089456,10003,256,0.95,9.128356084013783,br,0.14670025000954467
78,78,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6531,0.9660254306089456,10003,256,0.95,-1.22689377174701,coop,-0.05800845842344607
79,79,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6531,0.9660254306089456,10003,256,0.95,-1.5826008917760177,cost,-0.4307997121899852
80,80,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6649,0.9113784826630223,10003,256,0.95,6.005410062318294,nash,0.16387661804427298
81,81,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6649,0.9113784826630223,10003,256,0.95,11.418052595892208,br,0.5399052182526184
82,82,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6649,0.9113784826630223,10003,256,0.95,-1.253614981314329,coop,-0.06561001514723971
83,83,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6649,0.9113784826630223,10003,256,0.95,-1.796537963306544,cost,-0.2891783263887621
84,84,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,2963,0.9420692066814781,10003,256,0.95,5.05588828902153,nash,0.1837559252875193
85,85,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,2963,0.9420692066814781,10003,256,0.95,8.097923143739331,br,0.35016740246830497
86,86,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,2963,0.9420692066814781,10003,256,0.95,-1.7060980509776558,coop,-0.12013032637798386
87,87,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,2963,0.9420692066814781,10003,256,0.95,-1.8757152510813224,cost,-0.12434767038206439
88,88,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,10267,0.23065051197734085,10003,256,0.95,0.22516237626308463,nash,0.0031782706352372994
89,89,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,10267,0.23065051197734085,10003,256,0.95,0.34968095086174894,br,0.007428543070126872
90,90,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,10267,0.23065051197734085,10003,256,0.95,-2.8652196475678253,coop,-0.09400924322375627
91,91,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,10267,0.23065051197734085,10003,256,0.95,-5.94673547922259,cost,-0.19127733955280188
92,92,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,10830,0.8811846541235697,10003,256,0.95,4.652006238432457,nash,0.2291678873993156
93,93,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,10830,0.8811846541235697,10003,256,0.95,8.349455338893174,br,0.43346937118974505
94,94,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,10830,0.8811846541235697,10003,256,0.95,-2.2983254143081444,coop,-0.14081822943301656
95,95,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,10830,0.8811846541235697,10003,256,0.95,-3.276053020080749,cost,-0.1596894930850076
96,96,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7224,0.41498026605224825,10003,256,0.95,0.837223399385593,nash,0.026355409277925883
97,97,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7224,0.41498026605224825,10003,256,0.95,1.119874771822656,br,0.03662822010862333
98,98,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7224,0.41498026605224825,10003,256,0.95,-5.107564903404271,coop,-0.2020457541023398
99,99,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7224,0.41498026605224825,10003,256,0.95,-5.249180448481098,cost,-0.19488063062257446
100,100,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7789,0.9065544010986502,10003,256,0.95,19.447888735627355,nash,1.4670389654658542
101,101,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7789,0.9065544010986502,10003,256,0.95,14.511324646534144,br,0.9380812022671708
102,102,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7789,0.9065544010986502,10003,256,0.95,-2.041103881863822,coop,-0.11302874857831273
103,103,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7789,0.9065544010986502,10003,256,0.95,7.9002081248127025,cost,0.8433963550484052
104,104,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6885,0.9632973269632701,10003,256,0.95,3.9470275291194103,nash,0.19992249466410517
105,105,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6885,0.9632973269632701,10003,256,0.95,10.565082485396879,br,0.606823201495393
106,106,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6885,0.9632973269632701,10003,256,0.95,-1.595720095141569,coop,-0.12850076234998065
107,107,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6885,0.9632973269632701,10003,256,0.95,-4.336078120551164,cost,-0.19210062076637524
108,108,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6627,0.9724193112381927,10003,256,0.95,4.935672761193555,nash,0.21341499226488433
109,109,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6627,0.9724193112381927,10003,256,0.95,10.152285116589232,br,0.5322412317337708
110,110,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6627,0.9724193112381927,10003,256,0.95,-0.4464139877546458,coop,-0.029209505812063496
